S.No,Name,Gender,DOB,Town/City,MOD in Maths,MOD in Physics,MOD in Chemistry,Total
0,Bhuvanesh,M,2006-11-07,Erode,68,64,78,210
1,Harish,M,2006-06-03,Salem,62,45,91,198
2,Shashank,M,2006-01-04,Chennai,57,54,77,188
3,Rida,F,2006-05-05,Chennai,42,53,78,173
4,Ritika,F,2006-11-17,Madurai,87,64,89,240
5,Akshaya,F,2006-02-08,Chennai,71,92,84,247
6,Sameer,M,2006-03-23,Ambur,81,82,87,250
7,Aditya,M,2006-03-15,Vellore,84,92,76,252
8,Surya,M,2006-02-28,Bengaluru,74,64,51,189
9,Clarence,M,2006-12-06,Bengaluru,63,88,73,224
10,Kavya,F,2006-01-12,Chennai,64,72,68,204
11,Rahul,M,2006-04-30,Bengaluru,97,92,92,281
12,Srinidhi,F,2006-01-14,Chennai,52,64,71,187
13,Gopi,M,2006-05-06,Madurai,65,73,89,227
14,Sophia,F,2006-07-23,Trichy,89,62,93,244
15,Goutami,F,2006-09-22,Teni,76,58,90,224
16,Tauseef,M,2006-12-30,Trichy,87,86,43,216
17,Arshad,M,2006-12-14,Chennai,62,81,67,210
18,Abirami,F,2006-10-09,Erode,72,92,97,261
19,Vetrivel,M,2006-08-30,Trichy,56,78,62,196
20,Kalyan,M,2006-09-17,Vellore,93,68,91,252
21,Monika,F,2006-03-15,Bengaluru,78,69,74,221
22,Priya,F,2006-07-17,Nagercoil,62,62,57,181
23,Deepika,F,2006-05-13,Bengaluru,97,91,88,276
24,Siddharth,M,2006-12-26,Madurai,44,72,58,174
25,Geeta,F,2006-05-16,Chennai,87,75,92,254
26,JK,M,2006-07-22,Chennai,74,71,82,227
27,Jagan,M,2006-03-04,Madurai,81,76,52,209
28,Nisha,F,2006-09-10,Madurai,74,83,83,240
29,Naveen,M,2006-10-13,Vellore,72,66,81,219
